factor_id,coverage_line,factor_name,measurement,input_type,categories_or_unit,mult_low,mult_high,planning_default,direction,data_sources,notes
P18,physical_damage,Maintenance program,Documented PM,category,none|basic|logged,0.85,1.25,0.90,better_PM_lowers,shop records,NGC 7-point is a plus
P19,physical_damage,Prior PD losses,Thefts/flood/hail/rollover,category,none|one|pattern,1.00,1.50,1.00,more_losses_raise,loss runs,Pattern can decline
H1,hnoa,Employees who drive,Headcount,number,people,1.00,1.00,1.00,more_drivers_raise,Gusto,Incidental flat $150-400
H2,hnoa,Cost of hire,USD rented autos,number,USD,1.00,1.00,1.00,higher_hire_raises,QBO,Rate $1.50-4.00 per $100
H3,hnoa,Radius,Local vs statewide,category,local|statewide,1.00,1.35,1.00,wider_raises,application,
H4,hnoa,Cart delivery on auto,Frequency,category,incidental|regular,1.00,2.50,1.00,delivery_raises,ops,Regular delivery = owned auto
H5,hnoa,MVR quality,Violations/DUI,category,clean|minor|major,1.00,1.50,1.00,worse_MVR_raises,"MVR, SambaSafety",Major = exclude driver
H6,hnoa,Personal auto limits required,Employee min limits,yes_no,yes|no,0.90,1.30,1.00,requiring_lowers,handbook,
H8,hnoa,State auto environment,LA vs other,category,LA,1.15,1.40,1.20,LA_raises,ISO auto,
K1,garagekeepers,Limit,USD,number,USD,1.00,1.00,1.00,higher_limit_raises,peak customer carts x ACV,$2-8 per $1k limit
K2,garagekeepers,Peak customer units,Count,number,carts,1.00,1.00,1.00,more_units_raise_needed_limit,shop board,Not the rental fleet
K3,garagekeepers,Coverage type,Legal liab vs direct primary,category,legal|direct,1.00,1.35,1.00,broader_raises,form,
K4,garagekeepers,Perils,Comp vs comp+coll,category,comp|both,0.70,1.00,1.00,adding_coll_raises,quote,
K5,garagekeepers,Lot protection,Same as P11,category,building|fenced_camera|open,0.75,1.40,0.90,worse_lot_raises,photos,
K6,garagekeepers,Location CAT/crime,ZIP flood wind crime,category,see L factors,1.00,1.40,1.10,worse_loc_raises,"FEMA, crime",
K7,garagekeepers,Deductible,Per cart or occ,category,500|1000|2500,0.85,1.05,1.00,higher_lowers,quote,
K8,garagekeepers,Road test,Public-road test drives,yes_no,yes|no,1.00,1.25,1.10,road_test_raises,SOP,
E1,umbrella,Layer size,$1M layers,number,millions,0.55,1.00,1.00,more_limit_raises,quote,Next $1M is 0.55-0.80x prior
E2,umbrella,Underlying limits,Primary occ limit,category,500k|1M,1.00,1.75,1.00,weaker_underlying_raises,dec pages,$500k may not attach
E3,umbrella,Underlying quality,Admitted A-rated vs surplus,category,admitted|surplus,1.00,2.00,1.25,weaker_raises_or_declines,AM Best,
E4,umbrella,Use class,Same as G7-G12,category,see GL,1.00,5.00,1.50,riskier_use_raises,GL submission,Party/beach often decline
E5,umbrella,Auto included,Over owned auto+HNOA,yes_no,yes|no,1.00,1.40,1.20,including_auto_raises,underlying schedule,
E7,umbrella,Prior BI suit,Yes/no,yes_no,yes|no,1.00,3.00,1.00,suits_raise,loss runs/PACER,Can decline
W1,workers_comp,Class code mix,Payroll by duty,category,8810|8380|7380|8017,1.00,1.00,1.00,higher_hazard_raises,"NCCI, LWCC",Do not dump drivers into clerical
W2,workers_comp,Payroll,Remuneration,number,USD,1.00,1.00,1.00,higher_payroll_raises,"Gusto, 941",Linear
W3,workers_comp,Experience modifier,NCCI e-mod,number,mod,0.75,1.50,1.00,higher_emod_raises,"NCCI, LWCC",
W4,workers_comp,Safety / drug-free credit,Programs,yes_no,yes|no,0.90,1.00,0.95,programs_lower,safety manual,
W6,workers_comp,Officer inclusion,Include owners,yes_no,yes|no,1.00,1.00,1.00,including_raises,policy election,Confirm with Jessica (Griffin & Furman)
W7,workers_comp,1099 / leased labor,Misclass risk,category,clean|risky,1.00,1.50,1.00,misclass_raises,1099s,
W8,workers_comp,Delivery / road exposure,Hours on public roads,number,hours,1.00,1.00,1.00,more_road_raises,roles,Hayden Silva is 7380-type
L1,location,State,LA,category,LA,1.20,1.80,1.40,LA_raises,"ISO, NCCI",
L2,location,Parish,St Tammany,category,St Tammany,1.25,2.00,1.35,coastal_raises,carrier coastal list,Wind on PD/property
L3,location,ZIP,70433,category,70433,1.00,1.15,1.00,worse_ZIP_raises,ISO/Verisk,Better than 701xx
L4,location,Hurricane / wind tier,Carrier tier,category,tier,1.25,2.00,1.35,higher_tier_raises,"Verisk, RMS/AIR, NOAA",Some carriers decline
L5,location,Distance to coast / lake,Miles,number,miles,1.00,1.40,1.10,closer_raises,GIS/HazardHub,Pontchartrain surge
L6,location,FEMA flood zone,A/AE/VE/X,category,X|AE|VE,1.00,1.50,1.00,worse_raises_or_excludes,FEMA MSC,Confirm lot before launch
L10,location,Crime / theft,Score,category,low|mod|high,0.90,1.60,1.00,higher_crime_raises,CAP Index,
L13,location,ISO PPC,1-10,number,class,0.85,1.15,1.00,worse_PPC_raises_property,ISO PPC,Weak effect on cart floater
L15,location,Secondary locations,Extra lots/corrals,number,count,1.00,1.30,1.00,more_locs_raise,location schedule,Unscheduled loc = claim fight
BASE_GL,base_rate,GL per cart inland clean,$ / cart / yr at $1M/$2M,number,USD,90,220,150,higher_base_raises,specialty programs,Then multiply factors
BASE_GL_RECEIPTS,base_rate,GL per $1k receipts,$ / $1000,number,USD,12,35,22,higher_raises,specialty programs,Alternate exposure
BASE_GL_DAY,base_rate,GL per rental day,$ / day,number,USD,0.80,2.50,1.40,higher_raises,specialty programs,Alternate exposure
BASE_PD,base_rate,PD combined % of ACV inland,percent,number,percent,0.05,0.09,0.07,higher_raises,specialty IM/RV,Coastal use 0.08-0.14 before factors
BASE_PD_COASTAL,base_rate,PD combined % of ACV coastal,percent,number,percent,0.08,0.14,0.10,higher_raises,coastal programs,70433 planning default 10%
BASE_HNOA,base_rate,HNOA incidental flat,$ / yr,number,USD,150,750,400,higher_raises,commercial auto,Not for cart delivery
BASE_GKLL,base_rate,GKLL per $1k limit,$ / $1000,number,USD,2,8,4,higher_raises,garage form,Customer units only
BASE_UMB,base_rate,Umbrella per $1M,$ / layer,number,USD,900,4500,2500,higher_raises,umbrella apps,Rental class toward high end
BASE_MIN_GL,base_rate,GL minimum premium,$ / yr,number,USD,1500,5000,2500,floor,programs,
SURPLUS_TAX,tax,LA surplus lines tax + stamp,percent,number,percent,0.051,0.055,0.053,always_adds_on_surplus,LA SLA,4.85% tax plus fees
